Date,NM confirmed,NV confirmed,NM deaths,NV deaths
2020-10-11,32983,85677,911,1661
2020-10-12,33362,86240,915,1664
2020-10-13,33713,86240,918,1664
2020-10-14,34290,87190,921,1691
2020-10-15,34958,87969,922,1691
2020-10-16,35770,88674,928,1707
2020-10-17,36343,88674,929,1707
2020-10-18,36788,90327,934,1711
2020-10-19,37302,90810,935,1712
2020-10-20,37896,91460,942,1727
2020-10-21,38715,92012,950,1732
2020-10-22,39377,92790,953,1736
2020-10-23,40168,93593,960,1738
2020-10-24,41040,94730,965,1743
2020-10-25,41863,95609,967,1748
2020-10-26,42585,96178,976,1749
2020-10-27,43169,96901,980,1756
2020-10-28,43826,97463,991,1766
2020-10-29,44904,98512,994,1769
2020-10-30,45909,99724,1007,1777
2020-10-31,46490,100701,1018,1777
2020-11-01,47232,100701,1026,1777
2020-11-02,48103,102032,1036,1783
2020-11-03,49239,102930,1045,1806
2020-11-04,50251,103984,1059,1813
2020-11-05,51110,105238,1082,1823
2020-11-06,52394,106776,1088,1843
2020-11-07,53671,108586,1104,1848
2020-11-08,54881,109770,1118,1849
2020-11-09,56289,110723,1130,1850
2020-11-10,57547,112036,1144,1856
2020-11-11,59034,113132,1158,1874
2020-11-12,60776,114601,1176,1877
2020-11-13,62006,116439,1198,1890
2020-11-14,63171,118696,1208,1905
2020-11-15,64201,119858,1215,1906
2020-11-16,65454,121421,1236,1914
2020-11-17,67559,123077,1264,1941
2020-11-18,70451,124706,1290,1944
2020-11-19,74116,127077,1302,1950
2020-11-20,77098,128894,1325,1979
2020-11-21,79440,130884,1350,2007
2020-11-22,81896,130884,1383,2007
2020-11-23,84148,135339,1400,2018
2020-11-24,86247,138179,1428,2041
2020-11-25,88102,140803,1451,2064
2020-11-26,89796,140803,1469,2064
2020-11-27,91851,144785,1504,2088
2020-11-28,93981,147668,1527,2112
2020-11-29,95412,148808,1540,2129
2020-11-30,97093,150382,1568,2137
2020-12-01,99419,153040,1589,2160
2020-12-02,100963,155107,1629,2188
2020-12-03,102862,157539,1673,2231
2020-12-04,104935,160384,1706,2254
2020-12-05,106856,163523,1738,2282
2020-12-06,108088,166013,1749,2296
2020-12-07,109947,168329,1756,2300
2020-12-08,109947,170962,1756,2339
2020-12-09,112950,173689,1823,2364
2020-12-10,114731,175870,1846,2413
2020-12-11,116565,177373,1889,2455
2020-12-12,118358,181017,1913,2496
2020-12-13,119800,183794,1957,2513
2020-12-14,121299,186255,1978,2522
2020-12-15,122557,188486,2006,2570
2020-12-16,124357,190796,2049,2622
2020-12-17,126045,192948,2096,2642
2020-12-18,127500,195597,2128,2675
2020-12-19,128930,198099,2155,2718
2020-12-20,129992,198099,2171,2718
2020-12-21,130807,202064,2180,2752
2020-12-22,132075,203140,2203,2788
2020-12-23,133242,206078,2243,2835
2020-12-24,135166,208264,2272,2878
2020-12-25,136622,208264,2307,2878
2020-12-26,137226,211666,2316,2903
2020-12-27,137968,212238,2346,2910
2020-12-28,138659,213634,2379,2924
2020-12-29,139875,214364,2403,2932
2020-12-30,141185,216077,2436,2978
2020-12-31,142863,220512,2477,3079
2021-01-01,144141,222756,2502,3097
2021-01-02,145379,224581,2534,3102
2021-01-03,146393,227259,2551,3133
2021-01-04,147315,227259,2574,3133
2021-01-05,148499,228640,2594,3156
2021-01-06,149984,232969,2641,3241
2021-01-07,151819,236331,2680,3279
2021-01-08,153456,239160,2710,3328
2021-01-09,154954,241761,2732,3380
2021-01-10,156157,244002,2749,3395
2021-01-11,157087,245642,2764,3428
2021-01-12,157974,245642,2794,3428
2021-01-13,159119,248225,2807,3474
2021-01-14,160543,251447,2836,3582
2021-01-15,161805,251447,2873,3582
2021-01-16,162893,255331,2909,3680
2021-01-17,163637,256799,2931,3697
2021-01-18,164262,256799,2957,3697
2021-01-19,164954,259183,2975,3709
2021-01-20,165835,259183,3009,3709
2021-01-21,166822,261517,3044,3825
2021-01-22,167730,263330,3077,3872
2021-01-23,168579,264824,3115,3923
2021-01-24,169205,265996,3145,3935
2021-01-25,169696,265996,3157,3935
2021-01-26,170296,267929,3171,3996
2021-01-27,171047,268945,3198,4042
2021-01-28,171719,268945,3226,4042
2021-01-29,172798,271328,3248,4124
2021-01-30,173539,272386,3265,4167
2021-01-31,174064,273334,3283,4173
2021-02-01,174550,274153,3295,4181
2021-02-02,174982,274153,3310,4181
2021-02-03,175652,275713,3338,4275
2021-02-04,176211,276594,3355,4326
2021-02-05,176793,277482,3378,4365
2021-02-06,177214,277482,3386,4365
2021-02-07,177557,279015,3399,4421
2021-02-08,177868,279015,3412,4421
2021-02-09,178281,279561,3431,4423
2021-02-10,178790,280102,3461,4459
2021-02-11,179324,281338,3479,4535
2021-02-12,179724,281969,3502,4561
2021-02-13,180289,282779,3516,4592
2021-02-14,180571,282779,3529,4592
2021-02-15,180761,283293,3538,4607
2021-02-16,181060,283950,3550,4631
2021-02-17,181332,283950,3562,4631
2021-02-18,181739,283950,3580,4631
2021-02-19,182051,285205,3599,4730
2021-02-20,182476,285568,3610,4764
2021-02-21,182791,285869,3624,4768
2021-02-22,183024,285869,3635,4768
2021-02-23,183336,286426,3644,4799
2021-02-24,183781,286932,3658,4816
2021-02-25,184080,287495,3671,4830
2021-02-26,184737,287875,3685,4839
2021-02-27,184899,288332,3700,4854
2021-02-28,185139,288597,3716,4854
2021-03-01,185304,288597,3729,4854
2021-03-02,185548,288597,3740,4854
2021-03-03,185904,289502,3753,4883
2021-03-04,186163,289878,3769,4901
2021-03-05,186460,290258,3787,4916
2021-03-06,186742,290746,3797,4931
2021-03-07,186922,290746,3809,4931
2021-03-08,187043,291175,3812,4935
2021-03-09,187244,291594,3830,4948
2021-03-10,187491,291912,3839,4961
2021-03-11,187723,291912,3845,4961
2021-03-12,187985,293377,3850,4991
2021-03-13,188167,293377,3851,4991
2021-03-14,188312,294038,3853,5011
2021-03-15,188490,294217,3854,5014
2021-03-16,188666,294558,3861,5028
2021-03-17,188909,294558,3873,5028
2021-03-18,189159,295147,3878,5050
2021-03-19,189377,295403,3883,5054
2021-03-20,189562,295667,3889,5062
2021-03-21,189733,295667,3889,5062
2021-03-22,189897,296030,3892,5064
2021-03-23,190064,296041,3903,5064
2021-03-24,190275,296418,3909,5093
2021-03-25,190492,296763,3916,5103
2021-03-26,190721,297206,3923,5115
2021-03-27,190890,297503,3925,5123
2021-03-28,191051,297646,3925,5124
2021-03-29,191233,297646,3925,5124
2021-03-30,191380,298052,3932,5127
2021-03-31,191655,298328,3937,5137
2021-04-01,191948,298651,3942,5144
2021-04-02,192156,298651,3949,5144
2021-04-03,192156,299440,3949,5161
